alsa-oss 1.0.25-1
alsa-utils 1.0.25-3
apache-ant 1.8.4-1
archlinux-artwork 1.6-2
archlinux-themes-kde 1.5-2
arora 0.11.0-3
artwiz-fonts 1.3-7
aspell-ru 0.99f7-5
autoconf 2.69-1
autoconf2.13 2.13-2
automake 1.12.3-1
automoc4 0.9.88-3
avidemux-qt 2.5.6-3
bash-completion 2.0-2
basket 1.81-3
bison 2.6.2-1
brainworkshop 4.8.1-2
cabal-install 0.14.0-2
calligra-filters 2.5.1-1
calligra-karbon 2.5.1-1
calligra-tools 2.5.1-1
cdrdao 1.2.3-6
chromium 21.0.1180.81-2
clementine 1.0.1-7
cloog-ppl 0.15.10-2
clucene 2.3.3.4-6
codeblocks 10.05-2
colordiff 1.0.10-1
cope-git 20120207-1
cowsay 3.03-7
cryptsetup 1.5.0-2
ctpl 0.3.3-3
cvs 1.11.23-8
danbooru-client 0.9.9-1
danbooru-grabber 0.20.20-1
dash 0.5.7-2
dbschema 6.0.0.3482-1
dbvis 8.0.8-2
dia 0.97.2-3
digikam 2.8.0-1
djview4 4.8-2
dnsmasq 2.63-1
dnstracer 1.9-4
dnsutils 9.9.1.P2-1
dosfstools 3.0.12-1
eclipse-cdt 8.1.0-2
elfutils 0.154-1
emacs-linum-mode 0.9wza-1
emovix 0.9.0-5
esound 0.2.41-3
espeak 1.46.02-2
ethtool 1:3.5-1
fakeroot 1.18.4-1
fbida 2.08-2
filezilla 3.5.3-1
firefox-kde-opensuse 14.0.1-2
flashplugin 11.2.202.238-1
flex 2.5.37-1
fluidsynth 1.1.5-2
fontconfig-lcd 2.8.0-1
fpc 2.6.0-2
freerdp 1.0.1-8
fuseiso 20070708-4
gamin 0.1.10-6
gdk-pixbuf 0.22.0-9
gdm 3.4.1-3
gen-init-cpio 2.6.36-1
geoip 1.4.8-2
ggz-client-libs 0.0.14.1-3
giggle 0.6.1-1
gimp 2.8.0-2
gnome-disk-utility 3.4.1-1
gnome-mplayer 1.0.6-1
gnu-netcat 0.7.1-4
gobject-introspection 1.32.1-2
gparted 0.13.1-1
gperf 3.0.4-4
gpsd 3.6-2
grub 0.97-21
gstreamer0.10-good-plugins 0.10.31-1
gstreamer0.10-python 0.10.22-1
gstreamer0.10-ugly-plugins 0.10.19-2
gtk-qt-engine 1.1-3
gtk2-xfce-engine 3.0.0-1
gtk2hs-buildtools 0.12.3.1-1
gtk3-xfce-engine 3.0.0-1
gtksourceview2 2.10.5-2
guile 1.8.8-2
gvim 7.3.600-1
haddock 2.10.0-2
haskell-gtk 0.12.3.1-1
heirloom-mailx 12.5-3
herqq 1.0.0-1
hgsvn 0.1.9-2
htmldoc 1.9.0svn1700-1
hunspell_yo-ru 0.1-1
hyphen-ru 0.1-2
i2p 0.9-1
i2p-messenger 0.2.22-1
icecat 9.0.1-1
icedtea-web 1.2.1-2
icoutils 0.29.1-2
initscripts 2012.08.3-2
inkscape 0.48.3.1-5
ipcalc 0.41-4
iputils 20101006-4
jfsutils 1.1.15-3
k3b 2.0.2-6
kde-l10n-ru 4.9.0-2
kde-meta-kdeaccessibility 4.9-4
kde-meta-kdeadmin 4.9-4
kde-meta-kdebase 4.9-4
kde-meta-kdegraphics 4.9-4
kde-meta-kdemultimedia 4.9-4
kde-meta-kdenetwork 4.9-4
kde-meta-kdepim 4.9-4
kde-meta-kdesdk 4.9-4
kde-meta-kdeutils 4.9-4
kde-wallpapers 4.9.0-1
kdeartwork-aurorae 4.9.0-1
kdeartwork-colorschemes 4.9.0-1
kdeartwork-desktopthemes 4.9.0-1
kdeartwork-emoticons 4.9.0-1
kdeartwork-iconthemes 4.9.0-1
kdeartwork-kscreensaver 4.9.0-1
kdeartwork-sounds 4.9.0-1
kdeartwork-styles 4.9.0-1
kdeartwork-wallpapers 4.9.0-1
kdeartwork-weatherwallpapers 4.9.0-1
kdebindings-qyoto 4.9.0-1
kdebindings-smokekde 4.9.0-1
kdeedu-blinken 4.9.0-1
kdeedu-cantor 4.9.0-1
kdeedu-kalgebra 4.9.0-1
kdeedu-kalzium 4.9.0-1
kdeedu-kanagram 4.9.0-1
kdeedu-kbruch 4.9.0-1
kdeedu-kgeography 4.9.0-1
kdeedu-khangman 4.9.0-1
kdeedu-kig 4.9.0-1
kdeedu-kiten 4.9.0-1
kdeedu-klettres 4.9.0-1
kdeedu-kmplot 4.9.0-1
kdeedu-kstars 4.9.0-1
kdeedu-ktouch 4.9.0-1
kdeedu-kturtle 4.9.0-1
kdeedu-kwordquiz 4.9.0-1
kdeedu-parley 4.9.0-1
kdeedu-rocs 4.9.0-1
kdeedu-step 4.9.0-1
kdegames-bomber 4.9.0-1
kdegames-bovo 4.9.0-1
kdegames-granatier 4.9.0-1
kdegames-kajongg 4.9.0-1
kdegames-kapman 4.9.0-1
kdegames-katomic 4.9.0-1
kdegames-kbattleship 4.9.0-1
kdegames-kblackbox 4.9.0-1
kdegames-kblocks 4.9.0-1
kdegames-kbounce 4.9.0-1
kdegames-kbreakout 4.9.0-1
kdegames-kdiamond 4.9.0-1
kdegames-kfourinline 4.9.0-1
kdegames-kgoldrunner 4.9.0-1
kdegames-kigo 4.9.0-1
kdegames-killbots 4.9.0-1
kdegames-kiriki 4.9.0-1
kdegames-kjumpingcube 4.9.0-1
kdegames-klickety 4.9.0-1
kdegames-klines 4.9.0-1
kdegames-kmahjongg 4.9.0-1
kdegames-kmines 4.9.0-1
kdegames-knetwalk 4.9.0-1
kdegames-kolf 4.9.0-1
kdegames-kollision 4.9.0-1
kdegames-konquest 4.9.0-1
kdegames-kpatience 4.9.0-1
kdegames-kreversi 4.9.0-1
kdegames-kshisen 4.9.0-1
kdegames-ksirk 4.9.0-1
kdegames-kspaceduel 4.9.0-1
kdegames-ksquares 4.9.0-1
kdegames-ksudoku 4.9.0-1
kdegames-ktron 4.9.0-1
kdegames-ktuberling 4.9.0-1
kdegames-kubrick 4.9.0-1
kdegames-lskat 4.9.0-1
kdegames-palapeli 4.9.0-1
kdeplasma-addons-applets-bball 4.9.0-1
kdeplasma-addons-applets-binary-clock 4.9.0-1
kdeplasma-addons-applets-blackboard 4.9.0-1
kdeplasma-addons-applets-bookmarks 4.9.0-1
kdeplasma-addons-applets-bubblemon 4.9.0-1
kdeplasma-addons-applets-calculator 4.9.0-1
kdeplasma-addons-applets-charselect 4.9.0-1
